Time,NormalisedFlux
0.0,0.7974480008933394
1.0,0.8685257455979908
2.0,0.7826212028688116
3.0,0.8554586095035519
4.0,0.810711117240988
5.0,0.8738970353358271
6.0,0.873394556850025
7.0,0.8420247740884633
8.0,0.894139513832202
9.0,0.8833655721249505
10.0,0.9739068928481038
11.0,0.9911461676223654
12.0,1.026107307257635
13.0,0.9846913894903783
14.0,0.9419913706377994
15.0,1.0305062819836517
16.0,1.0411174912821899
17.0,1.0369169725639922
18.0,1.0950455306328166
19.0,1.1425581020482527
20.0,1.105808646069352
21.0,1.1281604840701214
22.0,1.1468117700095601
23.0,1.173307418665155
24.0,1.2034543554783619
25.0,1.1995057537752767
26.0,1.1904945396398197
27.0,1.229425779381923
28.0,1.2452150267121325
29.0,1.1981423676761742
30.0,1.2352817883000118
31.0,1.205116772773216
32.0,1.1900346315251895
33.0,1.1528121167834144
34.0,1.1760214363214718
35.0,1.118759052032833
36.0,1.1220631376013561
37.0,1.1125958593603686
38.0,1.082433787825835
39.0,1.1311907393156428
40.0,1.0219984721066944
41.0,1.0301884343630048
42.0,0.9743380218539277
43.0,0.9638885781062448
44.0,0.9513804881985404
45.0,0.9589560972614362
46.0,0.9467901040870644
47.0,0.8567967389723428
48.0,0.916279193263597
49.0,0.8242796997642134
50.0,0.9013155378733358
51.0,0.8261278033137782
52.0,0.7978677820087348
53.0,0.7561113721746276
54.0,0.8193198506999573
55.0,0.7955002064382386
56.0,0.8250444290210387
57.0,0.8041391749321236
58.0,0.7966328988419733
59.0,0.829277543271434
60.0,0.8031512315716094
61.0,0.8845808664879544
62.0,0.8876880556781682
63.0,0.8900888420377868
64.0,0.8867502109685849
65.0,0.9318265427861041
66.0,0.9179839140653809
67.0,1.0196019993688237
68.0,1.044338482092279
69.0,0.9866686217332588
70.0,1.0513423643863888
71.0,1.0553081672040197
72.0,1.045718534569577
73.0,1.0768765495224566
74.0,1.0808202421784485
75.0,1.066187122241489
76.0,1.1495796841630852
77.0,1.1602176850899097
78.0,1.1673463598261284
79.0,1.1837909226404095
80.0,1.2296227358493452
81.0,1.2168508355619503
82.0,1.191712475847967
83.0,1.2456658851685678
84.0,1.170427798603382
85.0,1.2318515978294202
86.0,1.1854737236079218
87.0,1.1127676142078788
88.0,1.1720094362638542
89.0,1.1707131526434271
90.0,1.1581644621978073
91.0,1.060702937561372
92.0,1.086924413738457
93.0,1.1197743263524735
94.0,1.0774248192300926
95.0,0.9812942543505558
96.0,1.0227305111361928
97.0,1.042038217391928
98.0,0.9738736793761417
99.0,0.9344330070970642
100.0,0.9328892338779181
101.0,0.8580765110473919
102.0,0.9024435835604702
103.0,0.8604992880410329
104.0,0.9069007159697997
105.0,0.8315804785850145
106.0,0.8423719173016638
107.0,0.783503886582552
108.0,0.7942323654471053
109.0,0.810053320913359
110.0,0.7956857527045416
111.0,0.7605051716556853
112.0,0.8146611681052728
113.0,0.8032611578689643
114.0,0.7571024079439475
115.0,0.7665522526462106
116.0,0.8142461290129035
117.0,0.8349019273044622
118.0,0.8319961731325525
119.0,0.9060239107713065
120.0,0.8955596789963753
